date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:40	104390/104390	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2013:30:54%20GMT	http://azim.commonsupport.com/Metlife/assets/images/banner/banner-7.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/banner/banner-7.jpg	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:41	3318/3318	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2000:39:30%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-23.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-23.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:41	2852/2852	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2001:06:32%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-25.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-25.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:42	3688/3688	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2001:07:02%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-26.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-26.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:48	37374/37374	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Aug%202020%2022:55:08%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/feature-2.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/feature-2.jpg	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:49	37374/37374	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Aug%202020%2022:55:14%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/feature-3.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/feature-3.jpg	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:50	1616/1616	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2001:38:16%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-28.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-28.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:51	34140/34140	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2002:01:54%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-30.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-30.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:51	1369/1369	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2001:39:46%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-29.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-29.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:53	2248/2248	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2012:30:12%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-31.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-31.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
